node_id,location
2072605232,Sân bay Tân Sơn Nhất
3806810443,Ngã tư Bảy Hiền
676548643,Ngã tư Hàng Xanh
2325332286,Ngã tư Bình Phước
1958801416,Ngã tư An Sương
2621185492,Ngã tư Gò Mây
5758130724,Ngã sáu Lý Thái Tổ
4010973001,Uỷ ban nhân dân thành phố Hồ Chí Minh
411919364,Phố đi bộ Nguyễn Huệ
5467207473,Công viên Gia Định
3338165653,Chợ Lớn
366456369,Đường Lê Quang Sung
5738265715,Chùa Ngọc Hoàng
2209479552,Khu đô thị Phú Mỹ Hưng
4275271701,Đài quan sát Landmark 81
5742825828,Khu du lịch Bình Quới
5772101028,Khu đô thị mới Thủ Thiêm
6022345185,Đền Ngọc Hoàng
2034589357,Đường hoa Nguyễn Huệ
366401737,Chợ Hòa Hưng
5778360128,Bảo tàng Chứng tích Chiến tranh
5764789632,Chợ Vườn Chuối
4875814748,Công viên Lê Thị Riêng
5748108677,Bến Xe An Sương
5757541611,Đường Trường Chinh (đoạn nối Cộng Hoà)
2408534557,Chung Cư A2 Phan Xích Long
2302073750,Đường Lý Thường Kiệt - Bà Triệu
696627474,Đường Phan Xích Long
4875814765,Đường Cách Mạng Tháng 8
1628403495,Chợ Tân Mỹ
411925910,Ngã 3 Nguyễn Thị Minh Khai - Cao Thắng
411925696,Chợ Bàn Cờ
2159586691,Chợ Lý Phục Man
411923488,Chợ Nguyễn Đình Chiểu
5758130729,Đường Lý Thái Tổ
366464950,Chợ Hòa Thạnh
5783301728,Chợ Phú Thọ
5006654050,Chợ Bình Trị Đông
2077773901,Chợ Hồng Hà
3830454074,Chợ Tân Sơn Nhì
2214122074,Chợ Bình Hưng Hòa
3168120093,Trường THPT Marie Curie
4535195806,Nhà Thi Đấu Phú Thọ
3242683103,Trường THPT Nguyễn Trung Trực
1793489511,SC Vivocity
676035155,Đại học Sư phạm kỹ thuật thành phố Hồ Chí Minh
737199274,Ngã tư Ga
366398306,Trường Cao Đẳng Quốc Tế Cetana PSB Intellis
5773400692,Số 7 Đường Nơ Trang Long
411917952,Hồ Con Rùa
4603175867,Chợ Bến Thành
2036083088,Ga nhà hát thành phố
4597283194,Dinh Độc Lập
411925950,Thảo cầm viên
5467207443,Nhà thờ Đức Bà - Công Xã Paris
