name,Luu luong (luot/ngay),Ty le xe may (%),Ty le o to (%)
Cầu Calmette,305909,71,8
Bến Nguyễn Duy,284688,76,10
Trường Sa,388304,77,7
Nguyễn Bình,135868,75,7
Vĩnh Lộc,87062,78,6
Thới Hòa,91522,72,9
Trần Não,256148,71,7
Xóm Củi,10052,69,9
Nguyễn Đức Cảnh,117453,71,10
Phạm Đăng Giảng,163021,77,10
Phan Văn Hớn,315992,77,5
Đại Lộ III,89940,77,6
Lương Thế Vinh,117858,73,10
Phạm Văn Chí,242791,73,7
Lương Minh Nguyệt,131794,69,8
Dương Thị Mười,257592,72,5
Lê Sát,80296,74,5
Thích Quảng Đức,326574,71,9
Tân Thuận,299148,77,6
Nguyễn Cửu Phú,100932,70,5
Tam Bình,234507,76,10
Đào Tấn,278450,76,10
Đặng Văn Bi,378502,73,9
Tôn Thất Hiệp,149100,70,6
Trần Văn Giàu,309836,77,8
Nguyễn Thức Đường,193571,76,10
Trần Khắc Chân,194716,77,7
Hương Lộ 2,320687,77,6
Tây Lân,151372,78,5
Văn Thân,175048,73,10
Phước Thiện,196113,78,9
Hoàng Diệu 2,283316,73,9
Lê Khôi,66998,75,8
Đường số 36,62005,70,7
Linh Đông,100057,75,6
Gò Dưa,241368,75,9
Dương Quang Đông,118356,71,10
Kha Vạn Cân,354956,69,9
Tân Xuân 1,185898,74,9
Phổ Quang,380514,71,9
Huỳnh Mẫn Đạt,241965,72,5
Trịnh Đình Trọng,221186,69,10
An Phú Đông,122134,78,5
Tây Hòa,163239,74,8
Ni Sư Huỳnh Liên,260086,78,6
Lê Lợi,274080,77,8
Văn Cao,251823,68,9
Hoàng Quốc Việt,216025,77,9
Đường số 9,136746,70,8
Vĩnh Khánh,146183,78,7
Lê Văn Thọ,270963,71,9
Đường số 11,152362,69,7
Tân Chánh Hiệp 39,178663,71,10
THOI TAM THÔN 5,156444,74,9
Bông Sao,167487,68,8
Dương Bá Trạc,353319,71,10
Kinh Trung ương,116881,78,9
Tăng Nhơn Phú,293473,74,6
Hồng Lạc,277676,77,5
Phan Đình Giót,272488,75,6
